OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
President/Vice President,American Constitution Party,JACKSON,Darrell L. Castle / Scott N. Bradley,6,0.00%,,
President/Vice President,American Constitution Party,JEFFERSON,Darrell L. Castle / Scott N. Bradley,"1,369",0.05%,,
President/Vice President,American Constitution Party,KIOWA,Darrell L. Castle / Scott N. Bradley,1,0.00%,,
President/Vice President,American Constitution Party,KIT CARSON,Darrell L. Castle / Scott N. Bradley,36,0.00%,,
President/Vice President,American Constitution Party,LAKE,Darrell L. Castle / Scott N. Bradley,20,0.00%,,
President/Vice President,American Constitution Party,LA PLATA,Darrell L. Castle / Scott N. Bradley,127,0.00%,,
President/Vice President,American Constitution Party,LARIMER,Darrell L. Castle / Scott N. Bradley,"1,026",0.04%,,
President/Vice President,American Constitution Party,LAS ANIMAS,Darrell L. Castle / Scott N. Bradley,30,0.00%,,
President/Vice President,American Constitution Party,LINCOLN,Darrell L. Castle / Scott N. Bradley,16,0.00%,,
President/Vice President,American Constitution Party,LOGAN,Darrell L. Castle / Scott N. Bradley,73,0.00%,,
President/Vice President,American Constitution Party,MESA,Darrell L. Castle / Scott N. Bradley,442,0.02%,,
President/Vice President,American Constitution Party,MINERAL,Darrell L. Castle / Scott N. Bradley,6,0.00%,,
President/Vice President,American Constitution Party,MOFFAT,Darrell L. Castle / Scott N. Bradley,41,0.00%,,
President/Vice President,American Constitution Party,MONTEZUMA,Darrell L. Castle / Scott N. Bradley,58,0.00%,,
President/Vice President,American Constitution Party,MONTROSE,Darrell L. Castle / Scott N. Bradley,144,0.01%,,
President/Vice President,American Constitution Party,MORGAN,Darrell L. Castle / Scott N. Bradley,74,0.00%,,
President/Vice President,American Constitution Party,OTERO,Darrell L. Castle / Scott N. Bradley,63,0.00%,,
President/Vice President,American Constitution Party,OURAY,Darrell L. Castle / Scott N. Bradley,7,0.00%,,
President/Vice President,American Constitution Party,PARK,Darrell L. Castle / Scott N. Bradley,58,0.00%,,
President/Vice President,American Constitution Party,PHILLIPS,Darrell L. Castle / Scott N. Bradley,15,0.00%,,
President/Vice President,American Constitution Party,PITKIN,Darrell L. Castle / Scott N. Bradley,16,0.00%,,
President/Vice President,American Constitution Party,PROWERS,Darrell L. Castle / Scott N. Bradley,23,0.00%,,
President/Vice President,American Constitution Party,PUEBLO,Darrell L. Castle / Scott N. Bradley,427,0.02%,,
President/Vice President,American Constitution Party,RIO BLANCO,Darrell L. Castle / Scott N. Bradley,22,0.00%,,
President/Vice President,American Constitution Party,RIO GRANDE,Darrell L. Castle / Scott N. Bradley,52,0.00%,,
President/Vice President,American Constitution Party,ROUTT,Darrell L. Castle / Scott N. Bradley,58,0.00%,,
President/Vice President,American Constitution Party,SAGUACHE,Darrell L. Castle / Scott N. Bradley,16,0.00%,,
President/Vice President,American Constitution Party,SAN JUAN,Darrell L. Castle / Scott N. Bradley,0,0.00%,,
President/Vice President,American Constitution Party,SAN MIGUEL,Darrell L. Castle / Scott N. Bradley,15,0.00%,,
President/Vice President,American Constitution Party,SEDGWICK,Darrell L. Castle / Scott N. Bradley,9,0.00%,,
President/Vice President,American Constitution Party,SUMMIT,Darrell L. Castle / Scott N. Bradley,46,0.00%,,
President/Vice President,American Constitution Party,TELLER,Darrell L. Castle / Scott N. Bradley,74,0.00%,,
President/Vice President,American Constitution Party,WASHINGTON,Darrell L. Castle / Scott N. Bradley,14,0.00%,,
President/Vice President,American Constitution Party,WELD,Darrell L. Castle / Scott N. Bradley,844,0.03%,,
President/Vice President,American Constitution Party,YUMA,Darrell L. Castle / Scott N. Bradley,26,0.00%,,
President/Vice President,American Constitution Party,,Darrell L. Castle / Scott N. Bradley TOTAL,"11,699",0.42%,,
President/Vice President,Libertarian Party,ADAMS,Gary Johnson / Bill Weld,"9,893",0.36%,,
President/Vice President,Libertarian Party,ALAMOSA,Gary Johnson / Bill Weld,405,0.01%,,
President/Vice President,Libertarian Party,ARAPAHOE,Gary Johnson / Bill Weld,"16,002",0.58%,,
President/Vice President,Libertarian Party,ARCHULETA,Gary Johnson / Bill Weld,331,0.01%,,
President/Vice President,Libertarian Party,BACA,Gary Johnson / Bill Weld,51,0.00%,,
President/Vice President,Libertarian Party,BENT,Gary Johnson / Bill Weld,83,0.00%,,
President/Vice President,Libertarian Party,BOULDER,Gary Johnson / Bill Weld,"8,034",0.29%,,
President/Vice President,Libertarian Party,BROOMFIELD,Gary Johnson / Bill Weld,"2,174",0.08%,,
President/Vice President,Libertarian Party,CHAFFEE,Gary Johnson / Bill Weld,537,0.02%,,
President/Vice President,Libertarian Party,CHEYENNE,Gary Johnson / Bill Weld,31,0.00%,,
President/Vice President,Libertarian Party,CLEAR CREEK,Gary Johnson / Bill Weld,365,0.01%,,
President/Vice President,Libertarian Party,CONEJOS,Gary Johnson / Bill Weld,166,0.01%,,
President/Vice President,Libertarian Party,COSTILLA,Gary Johnson / Bill Weld,83,0.00%,,
President/Vice President,Libertarian Party,CROWLEY,Gary Johnson / Bill Weld,63,0.00%,,
President/Vice President,Libertarian Party,CUSTER,Gary Johnson / Bill Weld,141,0.01%,,
President/Vice President,Libertarian Party,DELTA,Gary Johnson / Bill Weld,475,0.02%,,
President/Vice President,Libertarian Party,DENVER,Gary Johnson / Bill Weld,"14,861",0.53%,,
President/Vice President,Libertarian Party,DOLORES,Gary Johnson / Bill Weld,31,0.00%,,
President/Vice President,Libertarian Party,DOUGLAS,Gary Johnson / Bill Weld,"10,212",0.37%,,
President/Vice President,Libertarian Party,EAGLE,Gary Johnson / Bill Weld,"1,368",0.05%,,
President/Vice President,Libertarian Party,ELBERT,Gary Johnson / Bill Weld,666,0.02%,,
President/Vice President,Libertarian Party,EL PASO,Gary Johnson / Bill Weld,"19,877",0.71%,,
President/Vice President,Libertarian Party,FREMONT,Gary Johnson / Bill Weld,890,0.03%,,
President/Vice President,Libertarian Party,GARFIELD,Gary Johnson / Bill Weld,"1,135",0.04%,,
President/Vice President,Libertarian Party,GILPIN,Gary Johnson / Bill Weld,193,0.01%,,
President/Vice President,Libertarian Party,GRAND,Gary Johnson / Bill Weld,487,0.02%,,
President/Vice President,Libertarian Party,GUNNISON,Gary Johnson / Bill Weld,595,0.02%,,
President/Vice President,Libertarian Party,HINSDALE,Gary Johnson / Bill Weld,27,0.00%,,
President/Vice President,Libertarian Party,HUERFANO,Gary Johnson / Bill Weld,151,0.01%,,
President/Vice President,Libertarian Party,JACKSON,Gary Johnson / Bill Weld,41,0.00%,,
President/Vice President,Libertarian Party,JEFFERSON,Gary Johnson / Bill Weld,"18,537",0.67%,,
President/Vice President,Libertarian Party,KIOWA,Gary Johnson / Bill Weld,24,0.00%,,
President/Vice President,Libertarian Party,KIT CARSON,Gary Johnson / Bill Weld,95,0.00%,,
President/Vice President,Libertarian Party,LAKE,Gary Johnson / Bill Weld,173,0.01%,,
President/Vice President,Libertarian Party,LA PLATA,Gary Johnson / Bill Weld,"1,878",0.07%,,
President/Vice President,Libertarian Party,LARIMER,Gary Johnson / Bill Weld,"11,510",0.41%,,
President/Vice President,Libertarian Party,LAS ANIMAS,Gary Johnson / Bill Weld,251,0.01%,,
President/Vice President,Libertarian Party,LINCOLN,Gary Johnson / Bill Weld,77,0.00%,,
President/Vice President,Libertarian Party,LOGAN,Gary Johnson / Bill Weld,319,0.01%,,
President/Vice President,Libertarian Party,MESA,Gary Johnson / Bill Weld,"3,675",0.13%,,
President/Vice President,Libertarian Party,MINERAL,Gary Johnson / Bill Weld,42,0.00%,,
President/Vice President,Libertarian Party,MOFFAT,Gary Johnson / Bill Weld,179,0.01%,,
President/Vice President,Libertarian Party,MONTEZUMA,Gary Johnson / Bill Weld,544,0.02%,,
President/Vice President,Libertarian Party,MONTROSE,Gary Johnson / Bill Weld,735,0.03%,,
President/Vice President,Libertarian Party,MORGAN,Gary Johnson / Bill Weld,350,0.01%,,
President/Vice President,Libertarian Party,OTERO,Gary Johnson / Bill Weld,320,0.01%,,
President/Vice President,Libertarian Party,OURAY,Gary Johnson / Bill Weld,150,0.01%,,
President/Vice President,Libertarian Party,PARK,Gary Johnson / Bill Weld,509,0.02%,,
President/Vice President,Libertarian Party,PHILLIPS,Gary Johnson / Bill Weld,60,0.00%,,
President/Vice President,Libertarian Party,PITKIN,Gary Johnson / Bill Weld,374,0.01%,,
President/Vice President,Libertarian Party,PROWERS,Gary Johnson / Bill Weld,155,0.01%,,
President/Vice President,Libertarian Party,PUEBLO,Gary Johnson / Bill Weld,"4,072",0.15%,,
President/Vice President,Libertarian Party,RIO BLANCO,Gary Johnson / Bill Weld,118,0.00%,,
President/Vice President,Libertarian Party,RIO GRANDE,Gary Johnson / Bill Weld,232,0.01%,,
President/Vice President,Libertarian Party,ROUTT,Gary Johnson / Bill Weld,722,0.03%,,
President/Vice President,Libertarian Party,SAGUACHE,Gary Johnson / Bill Weld,92,0.00%,,
President/Vice President,Libertarian Party,SAN JUAN,Gary Johnson / Bill Weld,17,0.00%,,
President/Vice President,Libertarian Party,SAN MIGUEL,Gary Johnson / Bill Weld,154,0.01%,,
President/Vice President,Libertarian Party,SEDGWICK,Gary Johnson / Bill Weld,28,0.00%,,
President/Vice President,Libertarian Party,SUMMIT,Gary Johnson / Bill Weld,"1,000",0.04%,,
President/Vice President,Libertarian Party,TELLER,Gary Johnson / Bill Weld,674,0.02%,,
President/Vice President,Libertarian Party,WASHINGTON,Gary Johnson / Bill Weld,82,0.00%,,
President/Vice President,Libertarian Party,WELD,Gary Johnson / Bill Weld,"7,487",0.27%,,
President/Vice President,Libertarian Party,YUMA,Gary Johnson / Bill Weld,118,0.00%,,
President/Vice President,Libertarian Party,,Gary Johnson / Bill Weld TOTAL,"144,121",5.18%,,
President/Vice President,Green Party,ADAMS,Jill Stein / Ajamu Baraka,"2,703",0.10%,,
President/Vice President,Green Party,ALAMOSA,Jill Stein / Ajamu Baraka,117,0.00%,,
President/Vice President,Green Party,ARAPAHOE,Jill Stein / Ajamu Baraka,"3,829",0.14%,,
President/Vice President,Green Party,ARCHULETA,Jill Stein / Ajamu Baraka,116,0.00%,,
President/Vice President,Green Party,BACA,Jill Stein / Ajamu Baraka,18,0.00%,,
President/Vice President,Green Party,BENT,Jill Stein / Ajamu Baraka,20,0.00%,,
President/Vice President,Green Party,BOULDER,Jill Stein / Ajamu Baraka,"3,733",0.13%,,
President/Vice President,Green Party,BROOMFIELD,Jill Stein / Ajamu Baraka,497,0.02%,,
President/Vice President,Green Party,CHAFFEE,Jill Stein / Ajamu Baraka,198,0.01%,,
President/Vice President,Green Party,CHEYENNE,Jill Stein / Ajamu Baraka,4,0.00%,,
President/Vice President,Green Party,CLEAR CREEK,Jill Stein / Ajamu Baraka,118,0.00%,,
President/Vice President,Green Party,CONEJOS,Jill Stein / Ajamu Baraka,24,0.00%,,
President/Vice President,Green Party,COSTILLA,Jill Stein / Ajamu Baraka,19,0.00%,,
President/Vice President,Green Party,CROWLEY,Jill Stein / Ajamu Baraka,11,0.00%,,
President/Vice President,Green Party,CUSTER,Jill Stein / Ajamu Baraka,24,0.00%,,
President/Vice President,Green Party,DELTA,Jill Stein / Ajamu Baraka,255,0.01%,,
President/Vice President,Green Party,DENVER,Jill Stein / Ajamu Baraka,"5,580",0.20%,,
President/Vice President,Green Party,DOLORES,Jill Stein / Ajamu Baraka,13,0.00%,,
President/Vice President,Green Party,DOUGLAS,Jill Stein / Ajamu Baraka,"1,477",0.05%,,
President/Vice President,Green Party,EAGLE,Jill Stein / Ajamu Baraka,423,0.02%,,
President/Vice President,Green Party,ELBERT,Jill Stein / Ajamu Baraka,138,0.00%,,
President/Vice President,Green Party,EL PASO,Jill Stein / Ajamu Baraka,"4,093",0.15%,,
President/Vice President,Green Party,FREMONT,Jill Stein / Ajamu Baraka,243,0.01%,,
President/Vice President,Green Party,GARFIELD,Jill Stein / Ajamu Baraka,468,0.02%,,
President/Vice President,Green Party,GILPIN,Jill Stein / Ajamu Baraka,122,0.00%,,
President/Vice President,Green Party,GRAND,Jill Stein / Ajamu Baraka,128,0.00%,,
President/Vice President,Green Party,GUNNISON,Jill Stein / Ajamu Baraka,249,0.01%,,
President/Vice President,Green Party,HINSDALE,Jill Stein / Ajamu Baraka,11,0.00%,,
President/Vice President,Green Party,HUERFANO,Jill Stein / Ajamu Baraka,48,0.00%,,
President/Vice President,Green Party,JACKSON,Jill Stein / Ajamu Baraka,7,0.00%,,
President/Vice President,Green Party,JEFFERSON,Jill Stein / Ajamu Baraka,"4,579",0.16%,,
President/Vice President,Green Party,KIOWA,Jill Stein / Ajamu Baraka,1,0.00%,,
President/Vice President,Green Party,KIT CARSON,Jill Stein / Ajamu Baraka,16,0.00%,,
President/Vice President,Green Party,LAKE,Jill Stein / Ajamu Baraka,78,0.00%,,
President/Vice President,Green Party,LA PLATA,Jill Stein / Ajamu Baraka,665,0.02%,,
President/Vice President,Green Party,LARIMER,Jill Stein / Ajamu Baraka,"3,203",0.12%,,
President/Vice President,Green Party,LAS ANIMAS,Jill Stein / Ajamu Baraka,62,0.00%,,
President/Vice President,Green Party,LINCOLN,Jill Stein / Ajamu Baraka,9,0.00%,,
President/Vice President,Green Party,LOGAN,Jill Stein / Ajamu Baraka,65,0.00%,,
President/Vice President,Green Party,MESA,Jill Stein / Ajamu Baraka,712,0.03%,,
President/Vice President,Green Party,MINERAL,Jill Stein / Ajamu Baraka,11,0.00%,,
President/Vice President,Green Party,MOFFAT,Jill Stein / Ajamu Baraka,31,0.00%,,
President/Vice President,Green Party,MONTEZUMA,Jill Stein / Ajamu Baraka,235,0.01%,,
President/Vice President,Green Party,MONTROSE,Jill Stein / Ajamu Baraka,138,0.00%,,
President/Vice President,Green Party,MORGAN,Jill Stein / Ajamu Baraka,80,0.00%,,
President/Vice President,Green Party,OTERO,Jill Stein / Ajamu Baraka,57,0.00%,,
President/Vice President,Green Party,OURAY,Jill Stein / Ajamu Baraka,61,0.00%,,
President/Vice President,Green Party,PARK,Jill Stein / Ajamu Baraka,169,0.01%,,
President/Vice President,Green Party,PHILLIPS,Jill Stein / Ajamu Baraka,9,0.00%,,
President/Vice President,Green Party,PITKIN,Jill Stein / Ajamu Baraka,186,0.01%,,
President/Vice President,Green Party,PROWERS,Jill Stein / Ajamu Baraka,30,0.00%,,
President/Vice President,Green Party,PUEBLO,Jill Stein / Ajamu Baraka,942,0.03%,,
President/Vice President,Green Party,RIO BLANCO,Jill Stein / Ajamu Baraka,16,0.00%,,
President/Vice President,Green Party,RIO GRANDE,Jill Stein / Ajamu Baraka,61,0.00%,,
President/Vice President,Green Party,ROUTT,Jill Stein / Ajamu Baraka,206,0.01%,,
President/Vice President,Green Party,SAGUACHE,Jill Stein / Ajamu Baraka,129,0.00%,,
President/Vice President,Green Party,SAN JUAN,Jill Stein / Ajamu Baraka,4,0.00%,,
President/Vice President,Green Party,SAN MIGUEL,Jill Stein / Ajamu Baraka,128,0.00%,,
President/Vice President,Green Party,SEDGWICK,Jill Stein / Ajamu Baraka,21,0.00%,,
President/Vice President,Green Party,SUMMIT,Jill Stein / Ajamu Baraka,302,0.01%,,
President/Vice President,Green Party,TELLER,Jill Stein / Ajamu Baraka,165,0.01%,,
President/Vice President,Green Party,WASHINGTON,Jill Stein / Ajamu Baraka,11,0.00%,,
President/Vice President,Green Party,WELD,Jill Stein / Ajamu Baraka,"1,353",0.05%,,
President/Vice President,Green Party,YUMA,Jill Stein / Ajamu Baraka,16,0.00%,,
President/Vice President,Green Party,,Jill Stein / Ajamu Baraka TOTAL,"38,437",1.38%,,
President/Vice President,Approval Voting Party,ADAMS,Frank Atwood / Blake Huber,23,0.00%,,
President/Vice President,Approval Voting Party,ALAMOSA,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,ARAPAHOE,Frank Atwood / Blake Huber,47,0.00%,,
President/Vice President,Approval Voting Party,ARCHULETA,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,BACA,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,BENT,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,BOULDER,Frank Atwood / Blake Huber,17,0.00%,,
President/Vice President,Approval Voting Party,BROOMFIELD,Frank Atwood / Blake Huber,4,0.00%,,
President/Vice President,Approval Voting Party,CHAFFEE,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,CHEYENNE,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,CLEAR CREEK,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,CONEJOS,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,COSTILLA,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,CROWLEY,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,CUSTER,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,DELTA,Frank Atwood / Blake Huber,3,0.00%,,
President/Vice President,Approval Voting Party,DENVER,Frank Atwood / Blake Huber,46,0.00%,,
President/Vice President,Approval Voting Party,DOLORES,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,DOUGLAS,Frank Atwood / Blake Huber,15,0.00%,,
President/Vice President,Approval Voting Party,EAGLE,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,ELBERT,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,EL PASO,Frank Atwood / Blake Huber,29,0.00%,,
President/Vice President,Approval Voting Party,FREMONT,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,GARFIELD,Frank Atwood / Blake Huber,3,0.00%,,
President/Vice President,Approval Voting Party,GILPIN,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,GRAND,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,GUNNISON,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,HINSDALE,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,HUERFANO,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,JACKSON,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,JEFFERSON,Frank Atwood / Blake Huber,47,0.00%,,
President/Vice President,Approval Voting Party,KIOWA,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,KIT CARSON,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,LAKE,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,LA PLATA,Frank Atwood / Blake Huber,3,0.00%,,
President/Vice President,Approval Voting Party,LARIMER,Frank Atwood / Blake Huber,24,0.00%,,
President/Vice President,Approval Voting Party,LAS ANIMAS,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,LINCOLN,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,LOGAN,Frank Atwood / Blake Huber,4,0.00%,,
President/Vice President,Approval Voting Party,MESA,Frank Atwood / Blake Huber,6,0.00%,,
President/Vice President,Approval Voting Party,MINERAL,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,MOFFAT,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,MONTEZUMA,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,MONTROSE,Frank Atwood / Blake Huber,3,0.00%,,
President/Vice President,Approval Voting Party,MORGAN,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,OTERO,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,OURAY,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,PARK,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,PHILLIPS,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,PITKIN,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,PROWERS,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,PUEBLO,Frank Atwood / Blake Huber,21,0.00%,,
President/Vice President,Approval Voting Party,RIO BLANCO,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,RIO GRANDE,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,ROUTT,Frank Atwood / Blake Huber,2,0.00%,,
President/Vice President,Approval Voting Party,SAGUACHE,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,SAN JUAN,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,SAN MIGUEL,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,SEDGWICK,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,SUMMIT,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,TELLER,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,WASHINGTON,Frank Atwood / Blake Huber,1,0.00%,,
President/Vice President,Approval Voting Party,WELD,Frank Atwood / Blake Huber,14,0.00%,,
President/Vice President,Approval Voting Party,YUMA,Frank Atwood / Blake Huber,0,0.00%,,
President/Vice President,Approval Voting Party,,Frank Atwood / Blake Huber TOTAL,337,0.01%,,
President/Vice President,American Delta Party,ADAMS,Rocky Roque De La Fuente / Michael Steinberg,139,0.00%,,
President/Vice President,American Delta Party,ALAMOSA,Rocky Roque De La Fuente / Michael Steinberg,13,0.00%,,
President/Vice President,American Delta Party,ARAPAHOE,Rocky Roque De La Fuente / Michael Steinberg,117,0.00%,,
President/Vice President,American Delta Party,ARCHULETA,Rocky Roque De La Fuente / Michael Steinberg,3,0.00%,,
President/Vice President,American Delta Party,BACA,Rocky Roque De La Fuente / Michael Steinberg,1,0.00%,,
President/Vice President,American Delta Party,BENT,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,BOULDER,Rocky Roque De La Fuente / Michael Steinberg,59,0.00%,,
President/Vice President,American Delta Party,BROOMFIELD,Rocky Roque De La Fuente / Michael Steinberg,8,0.00%,,
President/Vice President,American Delta Party,CHAFFEE,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,CHEYENNE,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,CLEAR CREEK,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,CONEJOS,Rocky Roque De La Fuente / Michael Steinberg,1,0.00%,,
President/Vice President,American Delta Party,COSTILLA,Rocky Roque De La Fuente / Michael Steinberg,3,0.00%,,
President/Vice President,American Delta Party,CROWLEY,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,CUSTER,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,DELTA,Rocky Roque De La Fuente / Michael Steinberg,6,0.00%,,
President/Vice President,American Delta Party,DENVER,Rocky Roque De La Fuente / Michael Steinberg,166,0.01%,,
President/Vice President,American Delta Party,DOLORES,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,DOUGLAS,Rocky Roque De La Fuente / Michael Steinberg,45,0.00%,,
President/Vice President,American Delta Party,EAGLE,Rocky Roque De La Fuente / Michael Steinberg,18,0.00%,,
President/Vice President,American Delta Party,ELBERT,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,EL PASO,Rocky Roque De La Fuente / Michael Steinberg,112,0.00%,,
President/Vice President,American Delta Party,FREMONT,Rocky Roque De La Fuente / Michael Steinberg,6,0.00%,,
President/Vice President,American Delta Party,GARFIELD,Rocky Roque De La Fuente / Michael Steinberg,9,0.00%,,
President/Vice President,American Delta Party,GILPIN,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,GRAND,Rocky Roque De La Fuente / Michael Steinberg,1,0.00%,,
President/Vice President,American Delta Party,GUNNISON,Rocky Roque De La Fuente / Michael Steinberg,6,0.00%,,
President/Vice President,American Delta Party,HINSDALE,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,HUERFANO,Rocky Roque De La Fuente / Michael Steinberg,3,0.00%,,
