,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
896,President/Vice President,Socialist Workers Party,LOGAN,Alyson Kennedy / Malcolm Jarrett,2,
897,President/Vice President,Socialist Workers Party,MESA,Alyson Kennedy / Malcolm Jarrett,7,
898,President/Vice President,Socialist Workers Party,MINERAL,Alyson Kennedy / Malcolm Jarrett,0,
899,President/Vice President,Socialist Workers Party,MOFFAT,Alyson Kennedy / Malcolm Jarrett,0,
900,President/Vice President,Socialist Workers Party,MONTEZUMA,Alyson Kennedy / Malcolm Jarrett,3,
901,President/Vice President,Socialist Workers Party,MONTROSE,Alyson Kennedy / Malcolm Jarrett,0,
902,President/Vice President,Socialist Workers Party,MORGAN,Alyson Kennedy / Malcolm Jarrett,0,
903,President/Vice President,Socialist Workers Party,OTERO,Alyson Kennedy / Malcolm Jarrett,3,
904,President/Vice President,Socialist Workers Party,OURAY,Alyson Kennedy / Malcolm Jarrett,0,
905,President/Vice President,Socialist Workers Party,PARK,Alyson Kennedy / Malcolm Jarrett,0,
906,President/Vice President,Socialist Workers Party,PHILLIPS,Alyson Kennedy / Malcolm Jarrett,0,
907,President/Vice President,Socialist Workers Party,PITKIN,Alyson Kennedy / Malcolm Jarrett,1,
908,President/Vice President,Socialist Workers Party,PROWERS,Alyson Kennedy / Malcolm Jarrett,1,
909,President/Vice President,Socialist Workers Party,PUEBLO,Alyson Kennedy / Malcolm Jarrett,11,
910,President/Vice President,Socialist Workers Party,RIO BLANCO,Alyson Kennedy / Malcolm Jarrett,1,
911,President/Vice President,Socialist Workers Party,RIO GRANDE,Alyson Kennedy / Malcolm Jarrett,2,
912,President/Vice President,Socialist Workers Party,ROUTT,Alyson Kennedy / Malcolm Jarrett,1,
913,President/Vice President,Socialist Workers Party,SAGUACHE,Alyson Kennedy / Malcolm Jarrett,1,
914,President/Vice President,Socialist Workers Party,SAN JUAN,Alyson Kennedy / Malcolm Jarrett,0,
915,President/Vice President,Socialist Workers Party,SAN MIGUEL,Alyson Kennedy / Malcolm Jarrett,0,
916,President/Vice President,Socialist Workers Party,SEDGWICK,Alyson Kennedy / Malcolm Jarrett,1,
917,President/Vice President,Socialist Workers Party,SUMMIT,Alyson Kennedy / Malcolm Jarrett,1,
918,President/Vice President,Socialist Workers Party,TELLER,Alyson Kennedy / Malcolm Jarrett,2,
919,President/Vice President,Socialist Workers Party,WASHINGTON,Alyson Kennedy / Malcolm Jarrett,0,
920,President/Vice President,Socialist Workers Party,WELD,Alyson Kennedy / Malcolm Jarrett,12,
921,President/Vice President,Socialist Workers Party,YUMA,Alyson Kennedy / Malcolm Jarrett,1,
922,President/Vice President,Socialist Workers Party,,Alyson Kennedy / Malcolm Jarrett Total Votes,354,
923,President/Vice President,Socialist Workers Party,,Alyson Kennedy / Malcolm Jarrett Vote %,0.01%,
