OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
President/Vice President,Democratic Party,OURAY,Hillary Clinton / Tim Kaine,"1,697",0.06%,,
President/Vice President,Democratic Party,PARK,Hillary Clinton / Tim Kaine,"3,421",0.12%,,
President/Vice President,Democratic Party,PHILLIPS,Hillary Clinton / Tim Kaine,436,0.02%,,
President/Vice President,Democratic Party,PITKIN,Hillary Clinton / Tim Kaine,"7,333",0.26%,,
President/Vice President,Democratic Party,PROWERS,Hillary Clinton / Tim Kaine,"1,186",0.04%,,
President/Vice President,Democratic Party,PUEBLO,Hillary Clinton / Tim Kaine,"35,875",1.29%,,
President/Vice President,Democratic Party,RIO BLANCO,Hillary Clinton / Tim Kaine,436,0.02%,,
President/Vice President,Democratic Party,RIO GRANDE,Hillary Clinton / Tim Kaine,"2,001",0.07%,,
President/Vice President,Democratic Party,ROUTT,Hillary Clinton / Tim Kaine,"7,600",0.27%,,
President/Vice President,Democratic Party,SAGUACHE,Hillary Clinton / Tim Kaine,"1,417",0.05%,,
President/Vice President,Democratic Party,SAN JUAN,Hillary Clinton / Tim Kaine,265,0.01%,,
President/Vice President,Democratic Party,SAN MIGUEL,Hillary Clinton / Tim Kaine,"2,975",0.11%,,
President/Vice President,Democratic Party,SEDGWICK,Hillary Clinton / Tim Kaine,267,0.01%,,
President/Vice President,Democratic Party,SUMMIT,Hillary Clinton / Tim Kaine,"9,557",0.34%,,
President/Vice President,Democratic Party,TELLER,Hillary Clinton / Tim Kaine,"3,603",0.13%,,
President/Vice President,Democratic Party,WASHINGTON,Hillary Clinton / Tim Kaine,296,0.01%,,
President/Vice President,Democratic Party,WELD,Hillary Clinton / Tim Kaine,"46,519",1.67%,,
President/Vice President,Democratic Party,YUMA,Hillary Clinton / Tim Kaine,726,0.03%,,
President/Vice President,Democratic Party,,Hillary Clinton / Tim Kaine TOTAL,"1,338,870",48.16%,,
President/Vice President,Republican Party,ADAMS,Donald J. Trump / Michael R. Pence,"80,082",2.88%,,
President/Vice President,Republican Party,ALAMOSA,Donald J. Trump / Michael R. Pence,"3,046",0.11%,,
President/Vice President,Republican Party,ARAPAHOE,Donald J. Trump / Michael R. Pence,"117,053",4.21%,,
President/Vice President,Republican Party,ARCHULETA,Donald J. Trump / Michael R. Pence,"4,264",0.15%,,
President/Vice President,Republican Party,BACA,Donald J. Trump / Michael R. Pence,"1,753",0.06%,,
President/Vice President,Republican Party,BENT,Donald J. Trump / Michael R. Pence,"1,188",0.04%,,
President/Vice President,Republican Party,BOULDER,Donald J. Trump / Michael R. Pence,"41,396",1.49%,,
President/Vice President,Republican Party,BROOMFIELD,Donald J. Trump / Michael R. Pence,"14,367",0.52%,,
President/Vice President,Republican Party,CHAFFEE,Donald J. Trump / Michael R. Pence,"5,391",0.19%,,
President/Vice President,Republican Party,CHEYENNE,Donald J. Trump / Michael R. Pence,925,0.03%,,
President/Vice President,Republican Party,CLEAR CREEK,Donald J. Trump / Michael R. Pence,"2,575",0.09%,,
President/Vice President,Republican Party,CONEJOS,Donald J. Trump / Michael R. Pence,"1,914",0.07%,,
President/Vice President,Republican Party,COSTILLA,Donald J. Trump / Michael R. Pence,588,0.02%,,
President/Vice President,Republican Party,CROWLEY,Donald J. Trump / Michael R. Pence,"1,079",0.04%,,
President/Vice President,Republican Party,CUSTER,Donald J. Trump / Michael R. Pence,"2,061",0.07%,,
President/Vice President,Republican Party,DELTA,Donald J. Trump / Michael R. Pence,"11,655",0.42%,,
President/Vice President,Republican Party,DENVER,Donald J. Trump / Michael R. Pence,"62,690",2.25%,,
President/Vice President,Republican Party,DOLORES,Donald J. Trump / Michael R. Pence,944,0.03%,,
President/Vice President,Republican Party,DOUGLAS,Donald J. Trump / Michael R. Pence,"102,573",3.69%,,
President/Vice President,Republican Party,EAGLE,Donald J. Trump / Michael R. Pence,"8,990",0.32%,,
President/Vice President,Republican Party,ELBERT,Donald J. Trump / Michael R. Pence,"11,705",0.42%,,
President/Vice President,Republican Party,EL PASO,Donald J. Trump / Michael R. Pence,"179,228",6.45%,,
President/Vice President,Republican Party,FREMONT,Donald J. Trump / Michael R. Pence,"15,122",0.54%,,
President/Vice President,Republican Party,GARFIELD,Donald J. Trump / Michael R. Pence,"13,132",0.47%,,
President/Vice President,Republican Party,GILPIN,Donald J. Trump / Michael R. Pence,"1,566",0.06%,,
President/Vice President,Republican Party,GRAND,Donald J. Trump / Michael R. Pence,"4,494",0.16%,,
President/Vice President,Republican Party,GUNNISON,Donald J. Trump / Michael R. Pence,"3,289",0.12%,,
President/Vice President,Republican Party,HINSDALE,Donald J. Trump / Michael R. Pence,339,0.01%,,
President/Vice President,Republican Party,HUERFANO,Donald J. Trump / Michael R. Pence,"1,883",0.07%,,
President/Vice President,Republican Party,JACKSON,Donald J. Trump / Michael R. Pence,629,0.02%,,
President/Vice President,Republican Party,JEFFERSON,Donald J. Trump / Michael R. Pence,"138,177",4.97%,,
President/Vice President,Republican Party,KIOWA,Donald J. Trump / Michael R. Pence,728,0.03%,,
President/Vice President,Republican Party,KIT CARSON,Donald J. Trump / Michael R. Pence,"2,967",0.11%,,
President/Vice President,Republican Party,LAKE,Donald J. Trump / Michael R. Pence,"1,270",0.05%,,
President/Vice President,Republican Party,LA PLATA,Donald J. Trump / Michael R. Pence,"12,587",0.45%,,
President/Vice President,Republican Party,LARIMER,Donald J. Trump / Michael R. Pence,"83,430",3.00%,,
President/Vice President,Republican Party,LAS ANIMAS,Donald J. Trump / Michael R. Pence,"3,710",0.13%,,
President/Vice President,Republican Party,LINCOLN,Donald J. Trump / Michael R. Pence,"1,892",0.07%,,
President/Vice President,Republican Party,LOGAN,Donald J. Trump / Michael R. Pence,"7,282",0.26%,,
President/Vice President,Republican Party,MESA,Donald J. Trump / Michael R. Pence,"49,779",1.79%,,
President/Vice President,Republican Party,MINERAL,Donald J. Trump / Michael R. Pence,344,0.01%,,
President/Vice President,Republican Party,MOFFAT,Donald J. Trump / Michael R. Pence,"5,305",0.19%,,
President/Vice President,Republican Party,MONTEZUMA,Donald J. Trump / Michael R. Pence,"7,853",0.28%,,
President/Vice President,Republican Party,MONTROSE,Donald J. Trump / Michael R. Pence,"14,382",0.52%,,
President/Vice President,Republican Party,MORGAN,Donald J. Trump / Michael R. Pence,"8,145",0.29%,,
President/Vice President,Republican Party,OTERO,Donald J. Trump / Michael R. Pence,"4,928",0.18%,,
President/Vice President,Republican Party,OURAY,Donald J. Trump / Michael R. Pence,"1,351",0.05%,,
President/Vice President,Republican Party,PARK,Donald J. Trump / Michael R. Pence,"6,135",0.22%,,
President/Vice President,Republican Party,PHILLIPS,Donald J. Trump / Michael R. Pence,"1,791",0.06%,,
President/Vice President,Republican Party,PITKIN,Donald J. Trump / Michael R. Pence,"2,550",0.09%,,
President/Vice President,Republican Party,PROWERS,Donald J. Trump / Michael R. Pence,"3,531",0.13%,,
President/Vice President,Republican Party,PUEBLO,Donald J. Trump / Michael R. Pence,"36,265",1.30%,,
President/Vice President,Republican Party,RIO BLANCO,Donald J. Trump / Michael R. Pence,"2,791",0.10%,,
President/Vice President,Republican Party,RIO GRANDE,Donald J. Trump / Michael R. Pence,"3,085",0.11%,,
President/Vice President,Republican Party,ROUTT,Donald J. Trump / Michael R. Pence,"5,230",0.19%,,
President/Vice President,Republican Party,SAGUACHE,Donald J. Trump / Michael R. Pence,"1,147",0.04%,,
President/Vice President,Republican Party,SAN JUAN,Donald J. Trump / Michael R. Pence,215,0.01%,,
President/Vice President,Republican Party,SAN MIGUEL,Donald J. Trump / Michael R. Pence,"1,033",0.04%,,
President/Vice President,Republican Party,SEDGWICK,Donald J. Trump / Michael R. Pence,"1,015",0.04%,,
President/Vice President,Republican Party,SUMMIT,Donald J. Trump / Michael R. Pence,"5,100",0.18%,,
President/Vice President,Republican Party,TELLER,Donald J. Trump / Michael R. Pence,"9,745",0.35%,,
President/Vice President,Republican Party,WASHINGTON,Donald J. Trump / Michael R. Pence,"2,299",0.08%,,
President/Vice President,Republican Party,WELD,Donald J. Trump / Michael R. Pence,"76,651",2.76%,,
President/Vice President,Republican Party,YUMA,Donald J. Trump / Michael R. Pence,"3,850",0.14%,,
President/Vice President,Republican Party,,Donald J. Trump / Michael R. Pence TOTAL,"1,202,484",43.25%,,
President/Vice President,American Constitution Party,ADAMS,Darrell L. Castle / Scott N. Bradley,993,0.04%,,
President/Vice President,American Constitution Party,ALAMOSA,Darrell L. Castle / Scott N. Bradley,35,0.00%,,
President/Vice President,American Constitution Party,ARAPAHOE,Darrell L. Castle / Scott N. Bradley,"1,096",0.04%,,
President/Vice President,American Constitution Party,ARCHULETA,Darrell L. Castle / Scott N. Bradley,43,0.00%,,
President/Vice President,American Constitution Party,BACA,Darrell L. Castle / Scott N. Bradley,20,0.00%,,
President/Vice President,American Constitution Party,BENT,Darrell L. Castle / Scott N. Bradley,12,0.00%,,
President/Vice President,American Constitution Party,BOULDER,Darrell L. Castle / Scott N. Bradley,502,0.02%,,
President/Vice President,American Constitution Party,BROOMFIELD,Darrell L. Castle / Scott N. Bradley,152,0.01%,,
President/Vice President,American Constitution Party,CHAFFEE,Darrell L. Castle / Scott N. Bradley,66,0.00%,,
President/Vice President,American Constitution Party,CHEYENNE,Darrell L. Castle / Scott N. Bradley,6,0.00%,,
President/Vice President,American Constitution Party,CLEAR CREEK,Darrell L. Castle / Scott N. Bradley,22,0.00%,,
President/Vice President,American Constitution Party,CONEJOS,Darrell L. Castle / Scott N. Bradley,39,0.00%,,
President/Vice President,American Constitution Party,COSTILLA,Darrell L. Castle / Scott N. Bradley,9,0.00%,,
President/Vice President,American Constitution Party,CROWLEY,Darrell L. Castle / Scott N. Bradley,12,0.00%,,
President/Vice President,American Constitution Party,CUSTER,Darrell L. Castle / Scott N. Bradley,19,0.00%,,
President/Vice President,American Constitution Party,DELTA,Darrell L. Castle / Scott N. Bradley,100,0.00%,,
President/Vice President,American Constitution Party,DENVER,Darrell L. Castle / Scott N. Bradley,623,0.02%,,
President/Vice President,American Constitution Party,DOLORES,Darrell L. Castle / Scott N. Bradley,7,0.00%,,
President/Vice President,American Constitution Party,DOUGLAS,Darrell L. Castle / Scott N. Bradley,695,0.02%,,
President/Vice President,American Constitution Party,EAGLE,Darrell L. Castle / Scott N. Bradley,62,0.00%,,
President/Vice President,American Constitution Party,ELBERT,Darrell L. Castle / Scott N. Bradley,92,0.00%,,
President/Vice President,American Constitution Party,EL PASO,Darrell L. Castle / Scott N. Bradley,"1,436",0.05%,,
President/Vice President,American Constitution Party,FREMONT,Darrell L. Castle / Scott N. Bradley,142,0.01%,,
President/Vice President,American Constitution Party,GARFIELD,Darrell L. Castle / Scott N. Bradley,150,0.01%,,
President/Vice President,American Constitution Party,GILPIN,Darrell L. Castle / Scott N. Bradley,12,0.00%,,
President/Vice President,American Constitution Party,GRAND,Darrell L. Castle / Scott N. Bradley,23,0.00%,,
President/Vice President,American Constitution Party,GUNNISON,Darrell L. Castle / Scott N. Bradley,48,0.00%,,
President/Vice President,American Constitution Party,HINSDALE,Darrell L. Castle / Scott N. Bradley,2,0.00%,,
President/Vice President,American Constitution Party,HUERFANO,Darrell L. Castle / Scott N. Bradley,27,0.00%,,
President/Vice President,American Constitution Party,JACKSON,Darrell L. Castle / Scott N. Bradley,6,0.00%,,
President/Vice President,American Constitution Party,JEFFERSON,Darrell L. Castle / Scott N. Bradley,"1,369",0.05%,,
President/Vice President,American Constitution Party,KIOWA,Darrell L. Castle / Scott N. Bradley,1,0.00%,,
President/Vice President,American Constitution Party,KIT CARSON,Darrell L. Castle / Scott N. Bradley,36,0.00%,,
President/Vice President,American Constitution Party,LAKE,Darrell L. Castle / Scott N. Bradley,20,0.00%,,
President/Vice President,American Constitution Party,LA PLATA,Darrell L. Castle / Scott N. Bradley,127,0.00%,,
President/Vice President,American Constitution Party,LARIMER,Darrell L. Castle / Scott N. Bradley,"1,026",0.04%,,
President/Vice President,American Constitution Party,LAS ANIMAS,Darrell L. Castle / Scott N. Bradley,30,0.00%,,
President/Vice President,American Constitution Party,LINCOLN,Darrell L. Castle / Scott N. Bradley,16,0.00%,,
President/Vice President,American Constitution Party,LOGAN,Darrell L. Castle / Scott N. Bradley,73,0.00%,,
President/Vice President,American Constitution Party,MESA,Darrell L. Castle / Scott N. Bradley,442,0.02%,,
President/Vice President,American Constitution Party,MINERAL,Darrell L. Castle / Scott N. Bradley,6,0.00%,,
President/Vice President,American Constitution Party,MOFFAT,Darrell L. Castle / Scott N. Bradley,41,0.00%,,
President/Vice President,American Constitution Party,MONTEZUMA,Darrell L. Castle / Scott N. Bradley,58,0.00%,,
President/Vice President,American Constitution Party,MONTROSE,Darrell L. Castle / Scott N. Bradley,144,0.01%,,
President/Vice President,American Constitution Party,MORGAN,Darrell L. Castle / Scott N. Bradley,74,0.00%,,
President/Vice President,American Constitution Party,OTERO,Darrell L. Castle / Scott N. Bradley,63,0.00%,,
President/Vice President,American Constitution Party,OURAY,Darrell L. Castle / Scott N. Bradley,7,0.00%,,
President/Vice President,American Constitution Party,PARK,Darrell L. Castle / Scott N. Bradley,58,0.00%,,
President/Vice President,American Constitution Party,PHILLIPS,Darrell L. Castle / Scott N. Bradley,15,0.00%,,
President/Vice President,American Constitution Party,PITKIN,Darrell L. Castle / Scott N. Bradley,16,0.00%,,
President/Vice President,American Constitution Party,PROWERS,Darrell L. Castle / Scott N. Bradley,23,0.00%,,
President/Vice President,American Constitution Party,PUEBLO,Darrell L. Castle / Scott N. Bradley,427,0.02%,,
President/Vice President,American Constitution Party,RIO BLANCO,Darrell L. Castle / Scott N. Bradley,22,0.00%,,
President/Vice President,American Constitution Party,RIO GRANDE,Darrell L. Castle / Scott N. Bradley,52,0.00%,,
President/Vice President,American Constitution Party,ROUTT,Darrell L. Castle / Scott N. Bradley,58,0.00%,,
President/Vice President,American Constitution Party,SAGUACHE,Darrell L. Castle / Scott N. Bradley,16,0.00%,,
President/Vice President,American Constitution Party,SAN JUAN,Darrell L. Castle / Scott N. Bradley,0,0.00%,,
President/Vice President,American Constitution Party,SAN MIGUEL,Darrell L. Castle / Scott N. Bradley,15,0.00%,,
President/Vice President,American Constitution Party,SEDGWICK,Darrell L. Castle / Scott N. Bradley,9,0.00%,,
President/Vice President,American Constitution Party,SUMMIT,Darrell L. Castle / Scott N. Bradley,46,0.00%,,
President/Vice President,American Constitution Party,TELLER,Darrell L. Castle / Scott N. Bradley,74,0.00%,,
President/Vice President,American Constitution Party,WASHINGTON,Darrell L. Castle / Scott N. Bradley,14,0.00%,,
President/Vice President,American Constitution Party,WELD,Darrell L. Castle / Scott N. Bradley,844,0.03%,,
President/Vice President,American Constitution Party,YUMA,Darrell L. Castle / Scott N. Bradley,26,0.00%,,
President/Vice President,American Constitution Party,,Darrell L. Castle / Scott N. Bradley TOTAL,"11,699",0.42%,,
President/Vice President,Libertarian Party,ADAMS,Gary Johnson / Bill Weld,"9,893",0.36%,,
President/Vice President,Libertarian Party,ALAMOSA,Gary Johnson / Bill Weld,405,0.01%,,
President/Vice President,Libertarian Party,ARAPAHOE,Gary Johnson / Bill Weld,"16,002",0.58%,,
President/Vice President,Libertarian Party,ARCHULETA,Gary Johnson / Bill Weld,331,0.01%,,
President/Vice President,Libertarian Party,BACA,Gary Johnson / Bill Weld,51,0.00%,,
President/Vice President,Libertarian Party,BENT,Gary Johnson / Bill Weld,83,0.00%,,
President/Vice President,Libertarian Party,BOULDER,Gary Johnson / Bill Weld,"8,034",0.29%,,
President/Vice President,Libertarian Party,BROOMFIELD,Gary Johnson / Bill Weld,"2,174",0.08%,,
President/Vice President,Libertarian Party,CHAFFEE,Gary Johnson / Bill Weld,537,0.02%,,
President/Vice President,Libertarian Party,CHEYENNE,Gary Johnson / Bill Weld,31,0.00%,,
President/Vice President,Libertarian Party,CLEAR CREEK,Gary Johnson / Bill Weld,365,0.01%,,
President/Vice President,Libertarian Party,CONEJOS,Gary Johnson / Bill Weld,166,0.01%,,
President/Vice President,Libertarian Party,COSTILLA,Gary Johnson / Bill Weld,83,0.00%,,
President/Vice President,Libertarian Party,CROWLEY,Gary Johnson / Bill Weld,63,0.00%,,
President/Vice President,Libertarian Party,CUSTER,Gary Johnson / Bill Weld,141,0.01%,,
President/Vice President,Libertarian Party,DELTA,Gary Johnson / Bill Weld,475,0.02%,,
President/Vice President,Libertarian Party,DENVER,Gary Johnson / Bill Weld,"14,861",0.53%,,
President/Vice President,Libertarian Party,DOLORES,Gary Johnson / Bill Weld,31,0.00%,,
President/Vice President,Libertarian Party,DOUGLAS,Gary Johnson / Bill Weld,"10,212",0.37%,,
President/Vice President,Libertarian Party,EAGLE,Gary Johnson / Bill Weld,"1,368",0.05%,,
President/Vice President,Libertarian Party,ELBERT,Gary Johnson / Bill Weld,666,0.02%,,
President/Vice President,Libertarian Party,EL PASO,Gary Johnson / Bill Weld,"19,877",0.71%,,
President/Vice President,Libertarian Party,FREMONT,Gary Johnson / Bill Weld,890,0.03%,,
President/Vice President,Libertarian Party,GARFIELD,Gary Johnson / Bill Weld,"1,135",0.04%,,
President/Vice President,Libertarian Party,GILPIN,Gary Johnson / Bill Weld,193,0.01%,,
President/Vice President,Libertarian Party,GRAND,Gary Johnson / Bill Weld,487,0.02%,,
President/Vice President,Libertarian Party,GUNNISON,Gary Johnson / Bill Weld,595,0.02%,,
President/Vice President,Libertarian Party,HINSDALE,Gary Johnson / Bill Weld,27,0.00%,,
President/Vice President,Libertarian Party,HUERFANO,Gary Johnson / Bill Weld,151,0.01%,,
President/Vice President,Libertarian Party,JACKSON,Gary Johnson / Bill Weld,41,0.00%,,
President/Vice President,Libertarian Party,JEFFERSON,Gary Johnson / Bill Weld,"18,537",0.67%,,
President/Vice President,Libertarian Party,KIOWA,Gary Johnson / Bill Weld,24,0.00%,,
President/Vice President,Libertarian Party,KIT CARSON,Gary Johnson / Bill Weld,95,0.00%,,
President/Vice President,Libertarian Party,LAKE,Gary Johnson / Bill Weld,173,0.01%,,
President/Vice President,Libertarian Party,LA PLATA,Gary Johnson / Bill Weld,"1,878",0.07%,,
President/Vice President,Libertarian Party,LARIMER,Gary Johnson / Bill Weld,"11,510",0.41%,,
President/Vice President,Libertarian Party,LAS ANIMAS,Gary Johnson / Bill Weld,251,0.01%,,
President/Vice President,Libertarian Party,LINCOLN,Gary Johnson / Bill Weld,77,0.00%,,
President/Vice President,Libertarian Party,LOGAN,Gary Johnson / Bill Weld,319,0.01%,,
President/Vice President,Libertarian Party,MESA,Gary Johnson / Bill Weld,"3,675",0.13%,,
President/Vice President,Libertarian Party,MINERAL,Gary Johnson / Bill Weld,42,0.00%,,
President/Vice President,Libertarian Party,MOFFAT,Gary Johnson / Bill Weld,179,0.01%,,
President/Vice President,Libertarian Party,MONTEZUMA,Gary Johnson / Bill Weld,544,0.02%,,
President/Vice President,Libertarian Party,MONTROSE,Gary Johnson / Bill Weld,735,0.03%,,
President/Vice President,Libertarian Party,MORGAN,Gary Johnson / Bill Weld,350,0.01%,,
President/Vice President,Libertarian Party,OTERO,Gary Johnson / Bill Weld,320,0.01%,,
President/Vice President,Libertarian Party,OURAY,Gary Johnson / Bill Weld,150,0.01%,,
President/Vice President,Libertarian Party,PARK,Gary Johnson / Bill Weld,509,0.02%,,
President/Vice President,Libertarian Party,PHILLIPS,Gary Johnson / Bill Weld,60,0.00%,,
President/Vice President,Libertarian Party,PITKIN,Gary Johnson / Bill Weld,374,0.01%,,
President/Vice President,Libertarian Party,PROWERS,Gary Johnson / Bill Weld,155,0.01%,,
President/Vice President,Libertarian Party,PUEBLO,Gary Johnson / Bill Weld,"4,072",0.15%,,
President/Vice President,Libertarian Party,RIO BLANCO,Gary Johnson / Bill Weld,118,0.00%,,
President/Vice President,Libertarian Party,RIO GRANDE,Gary Johnson / Bill Weld,232,0.01%,,
President/Vice President,Libertarian Party,ROUTT,Gary Johnson / Bill Weld,722,0.03%,,
President/Vice President,Libertarian Party,SAGUACHE,Gary Johnson / Bill Weld,92,0.00%,,
President/Vice President,Libertarian Party,SAN JUAN,Gary Johnson / Bill Weld,17,0.00%,,
President/Vice President,Libertarian Party,SAN MIGUEL,Gary Johnson / Bill Weld,154,0.01%,,
President/Vice President,Libertarian Party,SEDGWICK,Gary Johnson / Bill Weld,28,0.00%,,
President/Vice President,Libertarian Party,SUMMIT,Gary Johnson / Bill Weld,"1,000",0.04%,,
President/Vice President,Libertarian Party,TELLER,Gary Johnson / Bill Weld,674,0.02%,,
President/Vice President,Libertarian Party,WASHINGTON,Gary Johnson / Bill Weld,82,0.00%,,
President/Vice President,Libertarian Party,WELD,Gary Johnson / Bill Weld,"7,487",0.27%,,
President/Vice President,Libertarian Party,YUMA,Gary Johnson / Bill Weld,118,0.00%,,
President/Vice President,Libertarian Party,,Gary Johnson / Bill Weld TOTAL,"144,121",5.18%,,
President/Vice President,Green Party,ADAMS,Jill Stein / Ajamu Baraka,"2,703",0.10%,,
President/Vice President,Green Party,ALAMOSA,Jill Stein / Ajamu Baraka,117,0.00%,,
President/Vice President,Green Party,ARAPAHOE,Jill Stein / Ajamu Baraka,"3,829",0.14%,,
President/Vice President,Green Party,ARCHULETA,Jill Stein / Ajamu Baraka,116,0.00%,,
President/Vice President,Green Party,BACA,Jill Stein / Ajamu Baraka,18,0.00%,,
President/Vice President,Green Party,BENT,Jill Stein / Ajamu Baraka,20,0.00%,,
President/Vice President,Green Party,BOULDER,Jill Stein / Ajamu Baraka,"3,733",0.13%,,
President/Vice President,Green Party,BROOMFIELD,Jill Stein / Ajamu Baraka,497,0.02%,,
President/Vice President,Green Party,CHAFFEE,Jill Stein / Ajamu Baraka,198,0.01%,,
President/Vice President,Green Party,CHEYENNE,Jill Stein / Ajamu Baraka,4,0.00%,,
President/Vice President,Green Party,CLEAR CREEK,Jill Stein / Ajamu Baraka,118,0.00%,,
President/Vice President,Green Party,CONEJOS,Jill Stein / Ajamu Baraka,24,0.00%,,
President/Vice President,Green Party,COSTILLA,Jill Stein / Ajamu Baraka,19,0.00%,,
President/Vice President,Green Party,CROWLEY,Jill Stein / Ajamu Baraka,11,0.00%,,
President/Vice President,Green Party,CUSTER,Jill Stein / Ajamu Baraka,24,0.00%,,
President/Vice President,Green Party,DELTA,Jill Stein / Ajamu Baraka,255,0.01%,,
President/Vice President,Green Party,DENVER,Jill Stein / Ajamu Baraka,"5,580",0.20%,,
President/Vice President,Green Party,DOLORES,Jill Stein / Ajamu Baraka,13,0.00%,,
President/Vice President,Green Party,DOUGLAS,Jill Stein / Ajamu Baraka,"1,477",0.05%,,
President/Vice President,Green Party,EAGLE,Jill Stein / Ajamu Baraka,423,0.02%,,
President/Vice President,Green Party,ELBERT,Jill Stein / Ajamu Baraka,138,0.00%,,
President/Vice President,Green Party,EL PASO,Jill Stein / Ajamu Baraka,"4,093",0.15%,,
President/Vice President,Green Party,FREMONT,Jill Stein / Ajamu Baraka,243,0.01%,,
President/Vice President,Green Party,GARFIELD,Jill Stein / Ajamu Baraka,468,0.02%,,
