Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
President/Vice President,Republican Party,GRAND,Donald J. Trump / Michael R. Pence,"4,883",
President/Vice President,Republican Party,GUNNISON,Donald J. Trump / Michael R. Pence,"3,735",
President/Vice President,Republican Party,HINSDALE,Donald J. Trump / Michael R. Pence,353,
President/Vice President,Republican Party,HUERFANO,Donald J. Trump / Michael R. Pence,"2,203",
President/Vice President,Republican Party,JACKSON,Donald J. Trump / Michael R. Pence,681,
President/Vice President,Republican Party,JEFFERSON,Donald J. Trump / Michael R. Pence,"148,417",
President/Vice President,Republican Party,KIOWA,Donald J. Trump / Michael R. Pence,795,
President/Vice President,Republican Party,KIT CARSON,Donald J. Trump / Michael R. Pence,"3,144",
President/Vice President,Republican Party,LAKE,Donald J. Trump / Michael R. Pence,"1,497",
President/Vice President,Republican Party,LA PLATA,Donald J. Trump / Michael R. Pence,"14,233",
President/Vice President,Republican Party,LARIMER,Donald J. Trump / Michael R. Pence,"91,489",
President/Vice President,Republican Party,LAS ANIMAS,Donald J. Trump / Michael R. Pence,"4,284",
President/Vice President,Republican Party,LINCOLN,Donald J. Trump / Michael R. Pence,"2,135",
President/Vice President,Republican Party,LOGAN,Donald J. Trump / Michael R. Pence,"8,087",
President/Vice President,Republican Party,MESA,Donald J. Trump / Michael R. Pence,"56,894",
President/Vice President,Republican Party,MINERAL,Donald J. Trump / Michael R. Pence,427,
President/Vice President,Republican Party,MOFFAT,Donald J. Trump / Michael R. Pence,"5,670",
President/Vice President,Republican Party,MONTEZUMA,Donald J. Trump / Michael R. Pence,"9,306",
President/Vice President,Republican Party,MONTROSE,Donald J. Trump / Michael R. Pence,"16,770",
President/Vice President,Republican Party,MORGAN,Donald J. Trump / Michael R. Pence,"9,593",
President/Vice President,Republican Party,OTERO,Donald J. Trump / Michael R. Pence,"5,756",
President/Vice President,Republican Party,OURAY,Donald J. Trump / Michael R. Pence,"1,577",
President/Vice President,Republican Party,PARK,Donald J. Trump / Michael R. Pence,"6,991",
President/Vice President,Republican Party,PHILLIPS,Donald J. Trump / Michael R. Pence,"1,958",
President/Vice President,Republican Party,PITKIN,Donald J. Trump / Michael R. Pence,"2,780",
President/Vice President,Republican Party,PROWERS,Donald J. Trump / Michael R. Pence,"4,008",
President/Vice President,Republican Party,PUEBLO,Donald J. Trump / Michael R. Pence,"42,252",
President/Vice President,Republican Party,RIO BLANCO,Donald J. Trump / Michael R. Pence,"3,061",
President/Vice President,Republican Party,RIO GRANDE,Donald J. Trump / Michael R. Pence,"3,660",
President/Vice President,Republican Party,ROUTT,Donald J. Trump / Michael R. Pence,"5,925",
President/Vice President,Republican Party,SAGUACHE,Donald J. Trump / Michael R. Pence,"1,413",
President/Vice President,Republican Party,SAN JUAN,Donald J. Trump / Michael R. Pence,202,
President/Vice President,Republican Party,SAN MIGUEL,Donald J. Trump / Michael R. Pence,"1,136",
President/Vice President,Republican Party,SEDGWICK,Donald J. Trump / Michael R. Pence,"1,121",
President/Vice President,Republican Party,SUMMIT,Donald J. Trump / Michael R. Pence,"5,322",
President/Vice President,Republican Party,TELLER,Donald J. Trump / Michael R. Pence,"11,241",
President/Vice President,Republican Party,WASHINGTON,Donald J. Trump / Michael R. Pence,"2,595",
President/Vice President,Republican Party,WELD,Donald J. Trump / Michael R. Pence,"96,145",
President/Vice President,Republican Party,YUMA,Donald J. Trump / Michael R. Pence,"4,107",
President/Vice President,Republican Party,,Donald J. Trump / Michael R. Pence Total Votes,"1,364,607",
President/Vice President,Republican Party,,Donald J. Trump / Michael R. Pence Vote %,41.90%,
President/Vice President,American Constitution Party,ADAMS,Don Blankenship / William Mohr,455,
President/Vice President,American Constitution Party,ALAMOSA,Don Blankenship / William Mohr,22,
President/Vice President,American Constitution Party,ARAPAHOE,Don Blankenship / William Mohr,503,
President/Vice President,American Constitution Party,ARCHULETA,Don Blankenship / William Mohr,20,
President/Vice President,American Constitution Party,BACA,Don Blankenship / William Mohr,2,
President/Vice President,American Constitution Party,BENT,Don Blankenship / William Mohr,5,
President/Vice President,American Constitution Party,BOULDER,Don Blankenship / William Mohr,219,
President/Vice President,American Constitution Party,BROOMFIELD,Don Blankenship / William Mohr,74,
President/Vice President,American Constitution Party,CHAFFEE,Don Blankenship / William Mohr,20,
President/Vice President,American Constitution Party,CHEYENNE,Don Blankenship / William Mohr,3,
President/Vice President,American Constitution Party,CLEAR CREEK,Don Blankenship / William Mohr,10,
President/Vice President,American Constitution Party,CONEJOS,Don Blankenship / William Mohr,15,
President/Vice President,American Constitution Party,COSTILLA,Don Blankenship / William Mohr,8,
President/Vice President,American Constitution Party,CROWLEY,Don Blankenship / William Mohr,3,
President/Vice President,American Constitution Party,CUSTER,Don Blankenship / William Mohr,5,
President/Vice President,American Constitution Party,DELTA,Don Blankenship / William Mohr,34,
President/Vice President,American Constitution Party,DENVER,Don Blankenship / William Mohr,314,
President/Vice President,American Constitution Party,DOLORES,Don Blankenship / William Mohr,5,
President/Vice President,American Constitution Party,DOUGLAS,Don Blankenship / William Mohr,303,
President/Vice President,American Constitution Party,EAGLE,Don Blankenship / William Mohr,34,
President/Vice President,American Constitution Party,ELBERT,Don Blankenship / William Mohr,30,
President/Vice President,American Constitution Party,EL PASO,Don Blankenship / William Mohr,702,
President/Vice President,American Constitution Party,FREMONT,Don Blankenship / William Mohr,60,
President/Vice President,American Constitution Party,GARFIELD,Don Blankenship / William Mohr,60,
President/Vice President,American Constitution Party,GILPIN,Don Blankenship / William Mohr,10,
President/Vice President,American Constitution Party,GRAND,Don Blankenship / William Mohr,18,
President/Vice President,American Constitution Party,GUNNISON,Don Blankenship / William Mohr,13,
President/Vice President,American Constitution Party,HINSDALE,Don Blankenship / William Mohr,4,
President/Vice President,American Constitution Party,HUERFANO,Don Blankenship / William Mohr,9,
President/Vice President,American Constitution Party,JACKSON,Don Blankenship / William Mohr,2,
President/Vice President,American Constitution Party,JEFFERSON,Don Blankenship / William Mohr,631,
President/Vice President,American Constitution Party,KIOWA,Don Blankenship / William Mohr,0,
President/Vice President,American Constitution Party,KIT CARSON,Don Blankenship / William Mohr,11,
President/Vice President,American Constitution Party,LAKE,Don Blankenship / William Mohr,4,
President/Vice President,American Constitution Party,LA PLATA,Don Blankenship / William Mohr,37,
President/Vice President,American Constitution Party,LARIMER,Don Blankenship / William Mohr,372,
President/Vice President,American Constitution Party,LAS ANIMAS,Don Blankenship / William Mohr,19,
President/Vice President,American Constitution Party,LINCOLN,Don Blankenship / William Mohr,7,
President/Vice President,American Constitution Party,LOGAN,Don Blankenship / William Mohr,18,
President/Vice President,American Constitution Party,MESA,Don Blankenship / William Mohr,200,
President/Vice President,American Constitution Party,MINERAL,Don Blankenship / William Mohr,5,
President/Vice President,American Constitution Party,MOFFAT,Don Blankenship / William Mohr,6,
President/Vice President,American Constitution Party,MONTEZUMA,Don Blankenship / William Mohr,26,
President/Vice President,American Constitution Party,MONTROSE,Don Blankenship / William Mohr,30,
President/Vice President,American Constitution Party,MORGAN,Don Blankenship / William Mohr,14,
President/Vice President,American Constitution Party,OTERO,Don Blankenship / William Mohr,15,
President/Vice President,American Constitution Party,OURAY,Don Blankenship / William Mohr,5,
President/Vice President,American Constitution Party,PARK,Don Blankenship / William Mohr,29,
President/Vice President,American Constitution Party,PHILLIPS,Don Blankenship / William Mohr,3,
President/Vice President,American Constitution Party,PITKIN,Don Blankenship / William Mohr,9,
President/Vice President,American Constitution Party,PROWERS,Don Blankenship / William Mohr,13,
President/Vice President,American Constitution Party,PUEBLO,Don Blankenship / William Mohr,169,
President/Vice President,American Constitution Party,RIO BLANCO,Don Blankenship / William Mohr,4,
President/Vice President,American Constitution Party,RIO GRANDE,Don Blankenship / William Mohr,15,
President/Vice President,American Constitution Party,ROUTT,Don Blankenship / William Mohr,20,
President/Vice President,American Constitution Party,SAGUACHE,Don Blankenship / William Mohr,8,
President/Vice President,American Constitution Party,SAN JUAN,Don Blankenship / William Mohr,1,
President/Vice President,American Constitution Party,SAN MIGUEL,Don Blankenship / William Mohr,2,
President/Vice President,American Constitution Party,SEDGWICK,Don Blankenship / William Mohr,7,
President/Vice President,American Constitution Party,SUMMIT,Don Blankenship / William Mohr,16,
President/Vice President,American Constitution Party,TELLER,Don Blankenship / William Mohr,28,
President/Vice President,American Constitution Party,WASHINGTON,Don Blankenship / William Mohr,4,
President/Vice President,American Constitution Party,WELD,Don Blankenship / William Mohr,363,
President/Vice President,American Constitution Party,YUMA,Don Blankenship / William Mohr,8,
President/Vice President,American Constitution Party,,Don Blankenship / William Mohr Total Votes,"5,061",
President/Vice President,American Constitution Party,,Don Blankenship / William Mohr Vote %,0.16%,
President/Vice President,Unity Party of Colorado,ADAMS,Bill Hammons / Eric Bodenstab,264,
President/Vice President,Unity Party of Colorado,ALAMOSA,Bill Hammons / Eric Bodenstab,6,
President/Vice President,Unity Party of Colorado,ARAPAHOE,Bill Hammons / Eric Bodenstab,328,
President/Vice President,Unity Party of Colorado,ARCHULETA,Bill Hammons / Eric Bodenstab,9,
President/Vice President,Unity Party of Colorado,BACA,Bill Hammons / Eric Bodenstab,0,
President/Vice President,Unity Party of Colorado,BENT,Bill Hammons / Eric Bodenstab,0,
President/Vice President,Unity Party of Colorado,BOULDER,Bill Hammons / Eric Bodenstab,122,
President/Vice President,Unity Party of Colorado,BROOMFIELD,Bill Hammons / Eric Bodenstab,46,
President/Vice President,Unity Party of Colorado,CHAFFEE,Bill Hammons / Eric Bodenstab,10,
President/Vice President,Unity Party of Colorado,CHEYENNE,Bill Hammons / Eric Bodenstab,0,
President/Vice President,Unity Party of Colorado,CLEAR CREEK,Bill Hammons / Eric Bodenstab,3,
President/Vice President,Unity Party of Colorado,CONEJOS,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,COSTILLA,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,CROWLEY,Bill Hammons / Eric Bodenstab,3,
President/Vice President,Unity Party of Colorado,CUSTER,Bill Hammons / Eric Bodenstab,4,
President/Vice President,Unity Party of Colorado,DELTA,Bill Hammons / Eric Bodenstab,11,
President/Vice President,Unity Party of Colorado,DENVER,Bill Hammons / Eric Bodenstab,222,
President/Vice President,Unity Party of Colorado,DOLORES,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,DOUGLAS,Bill Hammons / Eric Bodenstab,209,
President/Vice President,Unity Party of Colorado,EAGLE,Bill Hammons / Eric Bodenstab,32,
President/Vice President,Unity Party of Colorado,ELBERT,Bill Hammons / Eric Bodenstab,15,
President/Vice President,Unity Party of Colorado,EL PASO,Bill Hammons / Eric Bodenstab,360,
President/Vice President,Unity Party of Colorado,FREMONT,Bill Hammons / Eric Bodenstab,22,
President/Vice President,Unity Party of Colorado,GARFIELD,Bill Hammons / Eric Bodenstab,26,
President/Vice President,Unity Party of Colorado,GILPIN,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,GRAND,Bill Hammons / Eric Bodenstab,4,
President/Vice President,Unity Party of Colorado,GUNNISON,Bill Hammons / Eric Bodenstab,7,
President/Vice President,Unity Party of Colorado,HINSDALE,Bill Hammons / Eric Bodenstab,0,
President/Vice President,Unity Party of Colorado,HUERFANO,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,JACKSON,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,JEFFERSON,Bill Hammons / Eric Bodenstab,318,
President/Vice President,Unity Party of Colorado,KIOWA,Bill Hammons / Eric Bodenstab,0,
President/Vice President,Unity Party of Colorado,KIT CARSON,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,LAKE,Bill Hammons / Eric Bodenstab,4,
President/Vice President,Unity Party of Colorado,LA PLATA,Bill Hammons / Eric Bodenstab,23,
President/Vice President,Unity Party of Colorado,LARIMER,Bill Hammons / Eric Bodenstab,195,
President/Vice President,Unity Party of Colorado,LAS ANIMAS,Bill Hammons / Eric Bodenstab,5,
President/Vice President,Unity Party of Colorado,LINCOLN,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,LOGAN,Bill Hammons / Eric Bodenstab,4,
President/Vice President,Unity Party of Colorado,MESA,Bill Hammons / Eric Bodenstab,65,
President/Vice President,Unity Party of Colorado,MINERAL,Bill Hammons / Eric Bodenstab,0,
President/Vice President,Unity Party of Colorado,MOFFAT,Bill Hammons / Eric Bodenstab,3,
President/Vice President,Unity Party of Colorado,MONTEZUMA,Bill Hammons / Eric Bodenstab,16,
President/Vice President,Unity Party of Colorado,MONTROSE,Bill Hammons / Eric Bodenstab,16,
President/Vice President,Unity Party of Colorado,MORGAN,Bill Hammons / Eric Bodenstab,11,
President/Vice President,Unity Party of Colorado,OTERO,Bill Hammons / Eric Bodenstab,10,
President/Vice President,Unity Party of Colorado,OURAY,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,PARK,Bill Hammons / Eric Bodenstab,11,
President/Vice President,Unity Party of Colorado,PHILLIPS,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,PITKIN,Bill Hammons / Eric Bodenstab,10,
President/Vice President,Unity Party of Colorado,PROWERS,Bill Hammons / Eric Bodenstab,3,
President/Vice President,Unity Party of Colorado,PUEBLO,Bill Hammons / Eric Bodenstab,94,
President/Vice President,Unity Party of Colorado,RIO BLANCO,Bill Hammons / Eric Bodenstab,3,
President/Vice President,Unity Party of Colorado,RIO GRANDE,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,ROUTT,Bill Hammons / Eric Bodenstab,15,
President/Vice President,Unity Party of Colorado,SAGUACHE,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,SAN JUAN,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,SAN MIGUEL,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,SEDGWICK,Bill Hammons / Eric Bodenstab,1,
President/Vice President,Unity Party of Colorado,SUMMIT,Bill Hammons / Eric Bodenstab,14,
President/Vice President,Unity Party of Colorado,TELLER,Bill Hammons / Eric Bodenstab,10,
President/Vice President,Unity Party of Colorado,WASHINGTON,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,WELD,Bill Hammons / Eric Bodenstab,170,
President/Vice President,Unity Party of Colorado,YUMA,Bill Hammons / Eric Bodenstab,2,
President/Vice President,Unity Party of Colorado,,Bill Hammons / Eric Bodenstab Total Votes,"2,730",
President/Vice President,Unity Party of Colorado,,Bill Hammons / Eric Bodenstab Vote %,0.08%,
President/Vice President,Green Party,ADAMS,Howie Hawkins / Angela Nicole Walker,744,
President/Vice President,Green Party,ALAMOSA,Howie Hawkins / Angela Nicole Walker,23,
President/Vice President,Green Party,ARAPAHOE,Howie Hawkins / Angela Nicole Walker,926,
President/Vice President,Green Party,ARCHULETA,Howie Hawkins / Angela Nicole Walker,19,
President/Vice President,Green Party,BACA,Howie Hawkins / Angela Nicole Walker,3,
President/Vice President,Green Party,BENT,Howie Hawkins / Angela Nicole Walker,6,
President/Vice President,Green Party,BOULDER,Howie Hawkins / Angela Nicole Walker,697,
President/Vice President,Green Party,BROOMFIELD,Howie Hawkins / Angela Nicole Walker,104,
President/Vice President,Green Party,CHAFFEE,Howie Hawkins / Angela Nicole Walker,46,
President/Vice President,Green Party,CHEYENNE,Howie Hawkins / Angela Nicole Walker,0,
President/Vice President,Green Party,CLEAR CREEK,Howie Hawkins / Angela Nicole Walker,23,
President/Vice President,Green Party,CONEJOS,Howie Hawkins / Angela Nicole Walker,9,
President/Vice President,Green Party,COSTILLA,Howie Hawkins / Angela Nicole Walker,4,
President/Vice President,Green Party,CROWLEY,Howie Hawkins / Angela Nicole Walker,0,
President/Vice President,Green Party,CUSTER,Howie Hawkins / Angela Nicole Walker,5,
President/Vice President,Green Party,DELTA,Howie Hawkins / Angela Nicole Walker,45,
President/Vice President,Green Party,DENVER,Howie Hawkins / Angela Nicole Walker,"1,230",
President/Vice President,Green Party,DOLORES,Howie Hawkins / Angela Nicole Walker,1,
President/Vice President,Green Party,DOUGLAS,Howie Hawkins / Angela Nicole Walker,432,
President/Vice President,Green Party,EAGLE,Howie Hawkins / Angela Nicole Walker,78,
President/Vice President,Green Party,ELBERT,Howie Hawkins / Angela Nicole Walker,31,
President/Vice President,Green Party,EL PASO,Howie Hawkins / Angela Nicole Walker,"1,135",
President/Vice President,Green Party,FREMONT,Howie Hawkins / Angela Nicole Walker,59,
President/Vice President,Green Party,GARFIELD,Howie Hawkins / Angela Nicole Walker,99,
President/Vice President,Green Party,GILPIN,Howie Hawkins / Angela Nicole Walker,17,
President/Vice President,Green Party,GRAND,Howie Hawkins / Angela Nicole Walker,31,
President/Vice President,Green Party,GUNNISON,Howie Hawkins / Angela Nicole Walker,39,
President/Vice President,Green Party,HINSDALE,Howie Hawkins / Angela Nicole Walker,1,
President/Vice President,Green Party,HUERFANO,Howie Hawkins / Angela Nicole Walker,12,
President/Vice President,Green Party,JACKSON,Howie Hawkins / Angela Nicole Walker,2,
President/Vice President,Green Party,JEFFERSON,Howie Hawkins / Angela Nicole Walker,"1,089",
President/Vice President,Green Party,KIOWA,Howie Hawkins / Angela Nicole Walker,0,
President/Vice President,Green Party,KIT CARSON,Howie Hawkins / Angela Nicole Walker,2,
President/Vice President,Green Party,LAKE,Howie Hawkins / Angela Nicole Walker,23,
President/Vice President,Green Party,LA PLATA,Howie Hawkins / Angela Nicole Walker,128,
President/Vice President,Green Party,LARIMER,Howie Hawkins / Angela Nicole Walker,727,
President/Vice President,Green Party,LAS ANIMAS,Howie Hawkins / Angela Nicole Walker,17,
President/Vice President,Green Party,LINCOLN,Howie Hawkins / Angela Nicole Walker,1,
President/Vice President,Green Party,LOGAN,Howie Hawkins / Angela Nicole Walker,16,
President/Vice President,Green Party,MESA,Howie Hawkins / Angela Nicole Walker,188,
President/Vice President,Green Party,MINERAL,Howie Hawkins / Angela Nicole Walker,0,
President/Vice President,Green Party,MOFFAT,Howie Hawkins / Angela Nicole Walker,7,
President/Vice President,Green Party,MONTEZUMA,Howie Hawkins / Angela Nicole Walker,33,
President/Vice President,Green Party,MONTROSE,Howie Hawkins / Angela Nicole Walker,49,
President/Vice President,Green Party,MORGAN,Howie Hawkins / Angela Nicole Walker,26,
President/Vice President,Green Party,OTERO,Howie Hawkins / Angela Nicole Walker,16,
President/Vice President,Green Party,OURAY,Howie Hawkins / Angela Nicole Walker,12,
President/Vice President,Green Party,PARK,Howie Hawkins / Angela Nicole Walker,56,
President/Vice President,Green Party,PHILLIPS,Howie Hawkins / Angela Nicole Walker,7,
President/Vice President,Green Party,PITKIN,Howie Hawkins / Angela Nicole Walker,41,
President/Vice President,Green Party,PROWERS,Howie Hawkins / Angela Nicole Walker,9,
President/Vice President,Green Party,PUEBLO,Howie Hawkins / Angela Nicole Walker,205,
President/Vice President,Green Party,RIO BLANCO,Howie Hawkins / Angela Nicole Walker,3,
President/Vice President,Green Party,RIO GRANDE,Howie Hawkins / Angela Nicole Walker,11,
President/Vice President,Green Party,ROUTT,Howie Hawkins / Angela Nicole Walker,37,
President/Vice President,Green Party,SAGUACHE,Howie Hawkins / Angela Nicole Walker,13,
President/Vice President,Green Party,SAN JUAN,Howie Hawkins / Angela Nicole Walker,2,
